sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,interesting
0,3,format_tone|content_format|remove_all,1,1,1,1,low_to_high,0
3,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
5,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
15,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
16,3,format_tone|remove_all|ct_new,1,1,0,1,high_to_low,1
17,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
21,2,format_tone|remove_all,1,1,0,0,low_to_high,0
32,3,format_tone|remove_all|ct_new,1,1,0,1,high_to_low,1
47,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
49,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
72,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
83,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
108,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,low_to_high,0
114,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
120,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
143,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
150,2,format_tone|remove_all,1,1,0,0,low_to_high,0
181,2,format_tone|remove_all,1,1,0,0,high_to_low,1
194,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
196,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
198,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
262,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
263,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
272,3,format_tone|remove_all|ct_new,1,1,0,1,high_to_low,1
283,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
295,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
303,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
314,2,format_tone|remove_all,1,1,0,0,high_to_low,1
319,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
322,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
344,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
347,3,format_tone|remove_all|ct_new,1,1,0,1,high_to_low,1
355,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
362,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
367,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
368,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
380,2,format_tone|remove_all,1,1,0,0,high_to_low,1
386,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,low_to_high,0
392,2,format_tone|remove_all,1,1,0,0,high_to_low,1
396,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
402,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
418,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
428,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
442,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
448,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
450,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
454,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
464,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
467,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
473,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
506,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
516,2,format_tone|remove_all,1,1,0,0,high_to_low,1
557,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1
566,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
573,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
594,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
606,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
614,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
624,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
664,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
666,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
691,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
704,2,format_tone|remove_all,1,1,0,0,low_to_high,0
708,2,format_tone|remove_all,1,1,0,0,low_to_high,0
741,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
749,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
758,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
784,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
786,2,format_tone|remove_all,1,1,0,0,high_to_low,1
801,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
804,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,low_to_high,0
807,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
810,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
825,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
830,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
842,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
850,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
857,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
861,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
862,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1
863,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
893,2,format_tone|remove_all,1,1,0,0,low_to_high,0
900,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
902,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
905,2,format_tone|remove_all,1,1,0,0,high_to_low,1
923,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
939,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1
953,3,format_tone|remove_all|ct_old,1,1,0,1,low_to_high,0
973,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
974,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
976,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
978,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
982,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
986,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
990,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
997,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
1003,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
1023,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
1025,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1032,2,format_tone|remove_all,1,1,0,0,high_to_low,1
1049,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
