sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,delta,from_short,to_short,same_day_to_ed,interesting
73,3,format_tone|remove_all|ct_old,1,1,0,1,down,-2,Same-day,ED,1,1
86,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
137,3,format_tone|remove_all|ct_old,1,1,0,1,down,-2,Same-day,ED,1,1
151,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
163,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
201,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
206,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
213,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
233,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
260,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
268,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
273,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
281,3,format_tone|remove_all|ct_old,1,1,0,1,up,2,ED,Same-day,0,0
328,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
337,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
351,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
355,2,format_tone|remove_all,1,1,0,0,up,2,ED,Same-day,0,0
359,3,format_tone|content_format|remove_all,1,1,1,1,up,2,ED,Same-day,0,0
395,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-3,Non-urgent,ED,0,1
427,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
449,3,format_tone|remove_all|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
458,2,format_tone|remove_all,1,1,0,0,up,2,UC,Non-urgent,0,0
480,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
487,3,format_tone|content_format|remove_all,1,1,1,1,down,-3,Non-urgent,ED,0,1
502,2,format_tone|remove_all,1,1,0,0,up,3,ED,Non-urgent,0,0
510,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
540,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
612,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
619,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
620,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
628,3,format_tone|remove_all|ct_old,1,1,0,1,down,-2,Same-day,ED,1,1
633,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
652,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
667,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
677,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
713,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
737,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
778,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
784,3,format_tone|remove_all|ct_old,1,1,0,1,down,-2,Same-day,ED,1,1
837,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
854,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
914,3,format_tone|content_format|remove_all,1,1,1,1,down,-3,Non-urgent,ED,0,1
940,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
968,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
972,2,format_tone|remove_all,1,1,0,0,up,2,UC,Non-urgent,0,0
996,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1020,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1046,3,format_tone|remove_all|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
1077,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
1105,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
1129,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1130,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-3,Non-urgent,ED,0,1
1143,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1153,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1185,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
1192,3,format_tone|remove_all|ct_new,1,1,0,1,up,2,ED,Same-day,0,0
1235,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
1243,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1251,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1259,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
1294,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
1304,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
1315,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1321,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1403,2,format_tone|remove_all,1,1,0,0,up,2,ED,Same-day,0,0
1404,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
1405,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
1438,3,format_tone|remove_all|ct_old,1,1,0,1,up,2,ED,Same-day,0,0
1472,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
1473,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
1498,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1524,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1577,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
1585,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-4,Non-urgent,911,0,1
1604,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1617,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1642,3,format_tone|remove_all|ct_old,1,1,0,1,down,-2,Same-day,ED,1,1
1661,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
1672,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
1686,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
