sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,interesting
1,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
5,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,low_to_high,0
17,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1
24,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
33,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,low_to_high,0
42,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
45,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
54,3,format_tone|content_format|remove_all,1,1,1,1,low_to_high,0
61,2,format_tone|remove_all,1,1,0,0,high_to_low,1
67,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,low_to_high,0
95,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
97,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
98,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
99,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1
118,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,low_to_high,0
122,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
133,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
138,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
144,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
146,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
165,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
166,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
172,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
173,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
174,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,low_to_high,0
183,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
223,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
225,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
232,3,format_tone|remove_all|ct_old,1,1,0,1,low_to_high,0
238,2,format_tone|remove_all,1,1,0,0,low_to_high,0
260,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
261,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
262,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1
269,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
