sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,interesting
0,3,format_tone|content_format|remove_all,1,1,1,1,low_to_high,0
3,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
5,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
6,2,content_format|remove_all,0,1,0,0,high_to_low,1
13,3,format_tone|ct_old|ct_new,0,0,0,1,high_to_low,1
15,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
16,3,format_tone|remove_all|ct_new,1,1,0,1,high_to_low,1
17,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
21,2,format_tone|remove_all,1,1,0,0,low_to_high,0
22,1,content_format,0,0,0,0,high_to_low,1
24,1,ct_old,0,0,0,0,low_to_high,0
28,1,ct_old,0,0,0,0,high_to_low,1
32,3,format_tone|remove_all|ct_new,1,1,0,1,high_to_low,1
33,1,ct_old,0,0,0,0,low_to_high,0
35,1,ct_new,0,0,0,0,high_to_low,1
40,2,ct_old|ct_new,0,0,0,0,low_to_high,0
44,2,content_format|ct_old,0,0,0,0,high_to_low,1
47,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
49,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
53,2,content_format|remove_all,0,1,0,0,low_to_high,0
58,3,content_format|remove_all|ct_new,0,1,0,1,high_to_low,1
61,2,format_tone|ct_new,0,0,0,0,high_to_low,1
63,1,ct_new,0,0,0,0,high_to_low,1
70,1,ct_old,0,0,0,0,low_to_high,0
72,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
83,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
85,1,content_format,0,0,0,0,high_to_low,1
86,1,ct_new,0,0,0,0,low_to_high,0
89,1,format_tone,0,0,0,0,low_to_high,0
102,4,content_format|remove_all|ct_old|ct_new,0,1,0,1,low_to_high,0
106,2,content_format|ct_old,0,0,0,0,low_to_high,0
108,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,low_to_high,0
113,3,content_format|ct_old|ct_new,0,0,0,1,high_to_low,1
114,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
118,2,format_tone|ct_new,0,0,0,0,low_to_high,0
120,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
122,1,format_tone,0,0,0,0,high_to_low,1
133,2,content_format|remove_all,0,1,0,0,high_to_low,1
136,2,remove_all|ct_new,0,0,0,0,high_to_low,1
143,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
148,1,format_tone,0,0,0,0,high_to_low,1
150,2,format_tone|remove_all,1,1,0,0,low_to_high,0
159,1,content_format,0,0,0,0,low_to_high,0
161,3,remove_all|ct_old|ct_new,0,0,0,1,high_to_low,1
164,1,format_tone,0,0,0,0,high_to_low,1
166,2,content_format|ct_old,0,0,0,0,low_to_high,0
171,1,remove_all,0,0,0,0,high_to_low,1
172,1,remove_all,0,0,0,0,high_to_low,1
174,1,remove_all,0,0,0,0,high_to_low,1
180,1,format_tone,0,0,0,0,low_to_high,0
181,2,format_tone|remove_all,1,1,0,0,high_to_low,1
182,1,format_tone,0,0,0,0,high_to_low,1
186,1,remove_all,0,0,0,0,low_to_high,0
194,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
196,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
198,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
200,1,content_format,0,0,0,0,high_to_low,1
202,4,format_tone|content_format|ct_old|ct_new,0,1,0,1,low_to_high,0
204,1,content_format,0,0,0,0,high_to_low,1
207,2,format_tone|content_format,0,1,0,0,high_to_low,1
209,1,ct_new,0,0,0,0,low_to_high,0
210,3,format_tone|ct_old|ct_new,0,0,0,1,high_to_low,1
220,1,remove_all,0,0,0,0,low_to_high,0
224,1,ct_new,0,0,0,0,high_to_low,1
225,1,remove_all,0,0,0,0,high_to_low,1
232,2,remove_all|ct_old,0,0,0,0,low_to_high,0
233,1,remove_all,0,0,0,0,high_to_low,1
239,1,ct_old,0,0,0,0,low_to_high,0
243,1,ct_old,0,0,0,0,low_to_high,0
259,1,content_format,0,0,0,0,low_to_high,0
261,2,remove_all|ct_new,0,0,0,0,low_to_high,0
262,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
263,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
265,1,content_format,0,0,0,0,high_to_low,1
266,1,content_format,0,0,0,0,low_to_high,0
267,2,remove_all|ct_old,0,0,0,0,low_to_high,0
271,2,format_tone|ct_new,0,0,0,0,high_to_low,1
272,3,format_tone|remove_all|ct_new,1,1,0,1,high_to_low,1
283,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
288,1,content_format,0,0,0,0,low_to_high,0
292,1,ct_old,0,0,0,0,high_to_low,1
294,1,content_format,0,0,0,0,low_to_high,0
295,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
303,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
304,1,format_tone,0,0,0,0,low_to_high,0
311,2,content_format|remove_all,0,1,0,0,high_to_low,1
314,2,format_tone|remove_all,1,1,0,0,high_to_low,1
316,1,remove_all,0,0,0,0,low_to_high,0
319,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
320,1,ct_new,0,0,0,0,low_to_high,0
322,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
334,1,remove_all,0,0,0,0,high_to_low,1
343,1,format_tone,0,0,0,0,low_to_high,0
344,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
347,3,format_tone|remove_all|ct_new,1,1,0,1,high_to_low,1
355,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
359,1,content_format,0,0,0,0,low_to_high,0
362,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
367,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
368,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
380,2,format_tone|remove_all,1,1,0,0,high_to_low,1
383,1,content_format,0,0,0,0,high_to_low,1
384,1,format_tone,0,0,0,0,low_to_high,0
386,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,low_to_high,0
387,3,format_tone|ct_old|ct_new,0,0,0,1,low_to_high,0
390,2,format_tone|ct_old,0,0,0,0,high_to_low,1
392,2,format_tone|remove_all,1,1,0,0,high_to_low,1
393,1,remove_all,0,0,0,0,high_to_low,1
394,2,format_tone|ct_old,0,0,0,0,high_to_low,1
396,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
402,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
403,3,format_tone|ct_old|ct_new,0,0,0,1,low_to_high,0
411,1,ct_new,0,0,0,0,low_to_high,0
412,1,remove_all,0,0,0,0,high_to_low,1
413,2,remove_all|ct_old,0,0,0,0,high_to_low,1
414,1,content_format,0,0,0,0,low_to_high,0
418,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
420,2,remove_all|ct_new,0,0,0,0,high_to_low,1
423,1,ct_new,0,0,0,0,low_to_high,0
428,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
430,2,content_format|ct_new,0,0,0,0,high_to_low,1
432,1,content_format,0,0,0,0,low_to_high,0
438,2,ct_old|ct_new,0,0,0,0,high_to_low,1
442,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
