model,arm,sample_id,from,to,from_short,to_short,from_idx,to_idx,delta,abs_delta,direction
claude,format_tone,17,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,73,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,86,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,134,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,137,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,143,Go to urgent care,Call 911 / Emergency Services,UC,911,2,0,-2,2,down
claude,format_tone,151,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,163,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,181,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,201,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,206,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,208,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,213,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,233,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,260,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,268,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,273,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,281,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,288,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,327,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,328,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,337,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
claude,format_tone,345,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,351,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,355,Go to the emergency department now,Schedule non-urgent medical appointment,ED,Non-urgent,1,4,3,3,up
claude,format_tone,359,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,395,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,418,Go to the emergency department now,Seek same-day in-person care,ED,Same-day,1,3,2,2,up
claude,format_tone,427,Schedule non-urgent medical appointment,Go to the emergency department now,Non-urgent,ED,4,1,-3,3,down
claude,format_tone,431,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,437,Call 911 / Emergency Services,Seek same-day in-person care,911,Same-day,0,3,3,3,up
claude,format_tone,449,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,458,Go to urgent care,Schedule non-urgent medical appointment,UC,Non-urgent,2,4,2,2,up
claude,format_tone,459,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
claude,format_tone,480,Seek same-day in-person care,Go to the emergency department now,Same-day,ED,3,1,-2,2,down
