sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,delta,from_short,to_short,same_day_to_ed,interesting
0,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
38,3,format_tone|content_format|remove_all,1,1,1,1,down,-3,Non-urgent,ED,0,1
42,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
151,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-4,Non-urgent,911,0,1
160,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
274,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
318,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
340,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,4,911,Non-urgent,0,0
491,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
518,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
523,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
558,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,up,2,ED,Same-day,0,0
580,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
831,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
859,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-5,Home,911,0,1
932,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
963,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1007,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-3,Non-urgent,ED,0,1
1038,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
1040,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
1045,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,up,3,ED,Non-urgent,0,0
1059,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-4,Non-urgent,911,0,1
1159,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
