model,field,arm_a,arm_b,n_a,n_b,n_intersection,n_only_a,n_only_b,n_union,jaccard,pct_a_in_b,pct_b_in_a
gemini,diagnostic_consensus,format_tone,format_tone,408,408,408,0,0,408,1.0,100.0,100.0
gemini,diagnostic_consensus,format_tone,content_format,408,375,218,190,157,565,0.3858,53.43,58.13
gemini,diagnostic_consensus,format_tone,remove_all,408,423,270,138,153,561,0.4813,66.18,63.83
gemini,diagnostic_consensus,format_tone,ct_old,408,290,188,220,102,510,0.3686,46.08,64.83
gemini,diagnostic_consensus,format_tone,ct_new,408,318,199,209,119,527,0.3776,48.77,62.58
gemini,diagnostic_consensus,content_format,content_format,375,375,375,0,0,375,1.0,100.0,100.0
gemini,diagnostic_consensus,content_format,remove_all,375,423,223,152,200,575,0.3878,59.47,52.72
gemini,diagnostic_consensus,content_format,ct_old,375,290,167,208,123,498,0.3353,44.53,57.59
gemini,diagnostic_consensus,content_format,ct_new,375,318,178,197,140,515,0.3456,47.47,55.97
gemini,diagnostic_consensus,remove_all,remove_all,423,423,423,0,0,423,1.0,100.0,100.0
gemini,diagnostic_consensus,remove_all,ct_old,423,290,175,248,115,538,0.3253,41.37,60.34
gemini,diagnostic_consensus,remove_all,ct_new,423,318,190,233,128,551,0.3448,44.92,59.75
gemini,diagnostic_consensus,ct_old,ct_old,290,290,290,0,0,290,1.0,100.0,100.0
gemini,diagnostic_consensus,ct_old,ct_new,290,318,186,104,132,422,0.4408,64.14,58.49
gemini,diagnostic_consensus,ct_new,ct_new,318,318,318,0,0,318,1.0,100.0,100.0
gemini,structured_any,format_tone,format_tone,1256,1256,1256,0,0,1256,1.0,100.0,100.0
gemini,structured_any,format_tone,content_format,1256,1141,808,448,333,1589,0.5085,64.33,70.82
gemini,structured_any,format_tone,remove_all,1256,1277,931,325,346,1602,0.5811,74.12,72.91
gemini,structured_any,format_tone,ct_old,1256,1004,741,515,263,1519,0.4878,59.0,73.8
gemini,structured_any,format_tone,ct_new,1256,1060,759,497,301,1557,0.4875,60.43,71.6
gemini,structured_any,content_format,content_format,1141,1141,1141,0,0,1141,1.0,100.0,100.0
gemini,structured_any,content_format,remove_all,1141,1277,816,325,461,1602,0.5094,71.52,63.9
gemini,structured_any,content_format,ct_old,1141,1004,670,471,334,1475,0.4542,58.72,66.73
gemini,structured_any,content_format,ct_new,1141,1060,700,441,360,1501,0.4664,61.35,66.04
gemini,structured_any,remove_all,remove_all,1277,1277,1277,0,0,1277,1.0,100.0,100.0
gemini,structured_any,remove_all,ct_old,1277,1004,721,556,283,1560,0.4622,56.46,71.81
gemini,structured_any,remove_all,ct_new,1277,1060,751,526,309,1586,0.4735,58.81,70.85
gemini,structured_any,ct_old,ct_old,1004,1004,1004,0,0,1004,1.0,100.0,100.0
gemini,structured_any,ct_old,ct_new,1004,1060,686,318,374,1378,0.4978,68.33,64.72
gemini,structured_any,ct_new,ct_new,1060,1060,1060,0,0,1060,1.0,100.0,100.0
