sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,interesting
1,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
24,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
42,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
45,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
54,3,format_tone|content_format|remove_all,1,1,1,1,low_to_high,0
95,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
97,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
118,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,low_to_high,0
122,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
133,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
138,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
144,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
146,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
166,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
172,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
173,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
174,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,low_to_high,0
183,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
223,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
225,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
261,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
269,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
272,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,low_to_high,0
283,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
297,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
309,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
333,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
335,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
341,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,low_to_high,0
349,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,low_to_high,0
368,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
399,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
400,3,format_tone|content_format|remove_all,1,1,1,1,low_to_high,0
451,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
462,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
474,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
481,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,low_to_high,0
485,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
493,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
496,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,low_to_high,0
503,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
504,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
506,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
515,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
525,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
534,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
535,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
559,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
562,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,low_to_high,0
566,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
570,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
572,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
596,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
612,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
643,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
650,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
668,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
685,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,low_to_high,0
705,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
718,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
743,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
771,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
779,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
797,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,low_to_high,0
810,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
823,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
825,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
842,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
850,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,low_to_high,0
853,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
860,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
877,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
899,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,low_to_high,0
921,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
924,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
925,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
943,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
955,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
999,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
1016,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1028,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1032,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
1068,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
1076,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
1083,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1101,3,format_tone|content_format|remove_all,1,1,1,1,low_to_high,0
1103,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1124,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
1143,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,low_to_high,0
1149,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1158,3,format_tone|content_format|remove_all,1,1,1,1,low_to_high,0
1167,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
1169,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1171,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
1175,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1177,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1185,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
1197,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1212,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
1217,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
1219,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1221,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
1229,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
1236,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
1273,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
1281,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
1304,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1307,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
1308,3,format_tone|content_format|remove_all,1,1,1,1,low_to_high,0
1334,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
1338,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
1339,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1366,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
1371,3,format_tone|content_format|remove_all,1,1,1,1,low_to_high,0
1380,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
1418,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,low_to_high,0
1421,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1422,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
1435,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
1458,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
1462,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
1463,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1481,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
1493,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,low_to_high,0
1502,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
1519,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
1521,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1544,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
1557,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
1558,3,format_tone|content_format|remove_all,1,1,1,1,low_to_high,0
1561,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1575,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1577,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
1583,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
1584,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1586,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
1598,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1618,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
1623,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
1661,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1705,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
1715,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
1718,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1734,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
1746,3,format_tone|content_format|remove_all,1,1,1,1,low_to_high,0
1772,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1780,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1797,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
1812,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
1814,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1830,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1835,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1836,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1849,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
1856,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
