model,arm,field,pct,n,source
claude,remove_all,diagnostic_consensus,23.5364,2511,indep_remove_all_claude_flips.csv
claude,remove_all,next_steps_consensus,28.3619,2454,indep_remove_all_claude_flips.csv
claude,remove_all,care_seeking,22.5038,2644,indep_remove_all_claude_flips.csv
gemini,remove_all,diagnostic_consensus,16.1266,2623,indep_remove_all_gemini_flips.csv
gemini,remove_all,next_steps_consensus,22.8593,2686,indep_remove_all_gemini_flips.csv
gemini,remove_all,care_seeking,19.8795,2656,indep_remove_all_gemini_flips.csv
claude,ct_old,diagnostic_consensus,18.766,2350,indep_new_neu_claude_flips.csv
claude,ct_old,next_steps_consensus,23.8988,2293,indep_new_neu_claude_flips.csv
claude,ct_old,care_seeking,16.7042,2664,indep_new_neu_claude_flips.csv
claude,ct_new,diagnostic_consensus,19.0013,2363,indep_new_neu_claude_flips.csv
claude,ct_new,next_steps_consensus,23.408,2277,indep_new_neu_claude_flips.csv
claude,ct_new,care_seeking,16.1521,2656,indep_new_neu_claude_flips.csv
gemini,ct_old,diagnostic_consensus,11.2403,2580,indep_new_neu_gemini_flips.csv
gemini,ct_old,next_steps_consensus,18.29,2690,indep_new_neu_gemini_flips.csv
gemini,ct_old,care_seeking,15.3126,2671,indep_new_neu_gemini_flips.csv
gemini,ct_new,diagnostic_consensus,12.3928,2566,indep_new_neu_gemini_flips.csv
gemini,ct_new,next_steps_consensus,18.927,2684,indep_new_neu_gemini_flips.csv
gemini,ct_new,care_seeking,15.8271,2660,indep_new_neu_gemini_flips.csv
claude,format_tone,diagnostic_consensus,22.7218,2513,indep_factor_claude_flips.csv
claude,format_tone,next_steps_consensus,27.3658,2441,indep_factor_claude_flips.csv
claude,format_tone,care_seeking,21.3853,2642,indep_factor_claude_flips.csv
claude,content_format,diagnostic_consensus,18.3432,2535,indep_factor_claude_flips.csv
claude,content_format,next_steps_consensus,23.9072,2585,indep_factor_claude_flips.csv
claude,content_format,care_seeking,18.0383,2661,indep_factor_claude_flips.csv
gemini,format_tone,diagnostic_consensus,15.3904,2651,indep_factor_gemini_flips.csv
gemini,format_tone,next_steps_consensus,23.6411,2686,indep_factor_gemini_flips.csv
gemini,format_tone,care_seeking,18.9707,2662,indep_factor_gemini_flips.csv
gemini,content_format,diagnostic_consensus,14.1509,2650,indep_factor_gemini_flips.csv
gemini,content_format,next_steps_consensus,20.2828,2687,indep_factor_gemini_flips.csv
gemini,content_format,care_seeking,16.6979,2671,indep_factor_gemini_flips.csv
