sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,delta,from_short,to_short,same_day_to_ed,interesting
0,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
4,2,content_format|remove_all,0,1,0,0,down,-3,Non-urgent,ED,0,1
8,2,format_tone|remove_all,1,1,0,0,up,3,ED,Non-urgent,0,0
16,1,content_format,0,0,0,0,up,2,ED,Same-day,0,0
18,1,content_format,0,0,0,0,down,-2,Same-day,ED,1,1
34,3,format_tone|content_format|ct_old,0,1,0,1,down,-2,Non-urgent,UC,0,1
38,3,format_tone|content_format|remove_all,1,1,1,1,down,-3,Non-urgent,ED,0,1
42,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
49,1,content_format,0,0,0,0,up,2,ED,Same-day,0,0
61,1,ct_new,0,0,0,0,down,-2,Same-day,ED,1,1
72,2,ct_old|ct_new,0,0,0,0,up,2,ED,Same-day,0,0
76,3,format_tone|remove_all|ct_old,1,1,0,1,down,-3,Non-urgent,ED,0,1
91,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
106,2,format_tone|remove_all,1,1,0,0,down,-3,Non-urgent,ED,0,1
108,3,format_tone|ct_old|ct_new,0,0,0,1,down,-2,Same-day,ED,1,1
121,3,format_tone|remove_all|ct_old,1,1,0,1,up,3,ED,Non-urgent,0,0
122,1,remove_all,0,0,0,0,down,-2,Same-day,ED,1,1
128,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,down,-2,Same-day,ED,1,1
131,1,format_tone,0,0,0,0,down,-3,Non-urgent,ED,0,1
143,2,format_tone|ct_new,0,0,0,0,down,-4,Non-urgent,911,0,1
145,1,ct_old,0,0,0,0,down,-3,Non-urgent,ED,0,1
151,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-4,Non-urgent,911,0,1
153,2,content_format|remove_all,0,1,0,0,up,2,Same-day,Home,0,0
156,1,content_format,0,0,0,0,down,-2,Home,Same-day,0,1
160,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
180,1,format_tone,0,0,0,0,down,-2,Same-day,ED,1,1
183,1,content_format,0,0,0,0,down,-2,Same-day,ED,1,1
184,2,format_tone|content_format,0,1,0,0,up,2,ED,Same-day,0,0
186,1,content_format,0,0,0,0,down,-2,Same-day,ED,1,1
194,1,format_tone,0,0,0,0,down,-3,Non-urgent,ED,0,1
201,2,format_tone|remove_all,1,1,0,0,down,-2,Same-day,ED,1,1
208,2,content_format|remove_all,0,1,0,0,up,2,ED,Same-day,0,0
218,1,ct_new,0,0,0,0,down,-2,Same-day,ED,1,1
