model,arm,consensus_field,acuity_abs_delta,n_high,n_low,n,pct_high_within_mag,pct_low_within_mag,pct_of_stable,n_stable_total
claude,format_tone,diagnostic_consensus,0,698,803,1501,46.5,53.5,78.88,1903
claude,format_tone,diagnostic_consensus,1,107,164,271,39.48,60.52,14.24,1903
claude,format_tone,diagnostic_consensus,>1,30,101,131,22.9,77.1,6.88,1903
claude,format_tone,next_steps_consensus,0,662,712,1374,48.18,51.82,78.87,1742
claude,format_tone,next_steps_consensus,1,102,142,244,41.8,58.2,14.01,1742
claude,format_tone,next_steps_consensus,>1,43,81,124,34.68,65.32,7.12,1742
claude,content_format,diagnostic_consensus,0,751,915,1666,45.08,54.92,81.43,2046
claude,content_format,diagnostic_consensus,1,104,171,275,37.82,62.18,13.44,2046
claude,content_format,diagnostic_consensus,>1,26,79,105,24.76,75.24,5.13,2046
claude,content_format,next_steps_consensus,0,745,848,1593,46.77,53.23,81.99,1943
claude,content_format,next_steps_consensus,1,110,155,265,41.51,58.49,13.64,1943
claude,content_format,next_steps_consensus,>1,27,58,85,31.76,68.24,4.37,1943
claude,remove_all,diagnostic_consensus,0,687,780,1467,46.83,53.17,78.03,1880
claude,remove_all,diagnostic_consensus,1,121,162,283,42.76,57.24,15.05,1880
claude,remove_all,diagnostic_consensus,>1,28,102,130,21.54,78.46,6.91,1880
claude,remove_all,next_steps_consensus,0,626,703,1329,47.1,52.9,77.27,1720
claude,remove_all,next_steps_consensus,1,117,154,271,43.17,56.83,15.76,1720
claude,remove_all,next_steps_consensus,>1,42,78,120,35.0,65.0,6.98,1720
claude,ct_old,diagnostic_consensus,0,737,849,1586,46.47,53.53,84.05,1887
claude,ct_old,diagnostic_consensus,1,93,142,235,39.57,60.43,12.45,1887
claude,ct_old,diagnostic_consensus,>1,14,52,66,21.21,78.79,3.5,1887
claude,ct_old,next_steps_consensus,0,728,724,1452,50.14,49.86,84.32,1722
claude,ct_old,next_steps_consensus,1,99,111,210,47.14,52.86,12.2,1722
claude,ct_old,next_steps_consensus,>1,22,38,60,36.67,63.33,3.48,1722
claude,ct_new,diagnostic_consensus,0,743,830,1573,47.23,52.77,83.27,1889
claude,ct_new,diagnostic_consensus,1,93,149,242,38.43,61.57,12.81,1889
claude,ct_new,diagnostic_consensus,>1,14,60,74,18.92,81.08,3.92,1889
claude,ct_new,next_steps_consensus,0,738,730,1468,50.27,49.73,85.2,1723
claude,ct_new,next_steps_consensus,1,91,109,200,45.5,54.5,11.61,1723
claude,ct_new,next_steps_consensus,>1,22,33,55,40.0,60.0,3.19,1723
gemini,format_tone,diagnostic_consensus,0,622,1167,1789,34.77,65.23,80.88,2212
gemini,format_tone,diagnostic_consensus,1,83,179,262,31.68,68.32,11.84,2212
gemini,format_tone,diagnostic_consensus,>1,29,132,161,18.01,81.99,7.28,2212
gemini,format_tone,next_steps_consensus,0,1113,546,1659,67.09,32.91,81.93,2025
gemini,format_tone,next_steps_consensus,1,174,61,235,74.04,25.96,11.6,2025
gemini,format_tone,next_steps_consensus,>1,88,43,131,67.18,32.82,6.47,2025
gemini,content_format,diagnostic_consensus,0,653,1209,1862,35.07,64.93,82.68,2252
gemini,content_format,diagnostic_consensus,1,87,167,254,34.25,65.75,11.28,2252
gemini,content_format,diagnostic_consensus,>1,32,104,136,23.53,76.47,6.04,2252
gemini,content_format,next_steps_consensus,0,1200,579,1779,67.45,32.55,83.99,2118
gemini,content_format,next_steps_consensus,1,154,60,214,71.96,28.04,10.1,2118
gemini,content_format,next_steps_consensus,>1,93,32,125,74.4,25.6,5.9,2118
gemini,remove_all,diagnostic_consensus,0,577,1146,1723,33.49,66.51,79.47,2168
gemini,remove_all,diagnostic_consensus,1,93,175,268,34.7,65.3,12.36,2168
gemini,remove_all,diagnostic_consensus,>1,37,140,177,20.9,79.1,8.16,2168
gemini,remove_all,next_steps_consensus,0,1081,557,1638,66.0,34.0,80.18,2043
gemini,remove_all,next_steps_consensus,1,184,69,253,72.73,27.27,12.38,2043
gemini,remove_all,next_steps_consensus,>1,96,56,152,63.16,36.84,7.44,2043
gemini,ct_old,diagnostic_consensus,0,739,1180,1919,38.51,61.49,84.65,2267
gemini,ct_old,diagnostic_consensus,1,63,155,218,28.9,71.1,9.62,2267
gemini,ct_old,diagnostic_consensus,>1,19,111,130,14.62,85.38,5.73,2267
gemini,ct_old,next_steps_consensus,0,1240,615,1855,66.85,33.15,85.13,2179
gemini,ct_old,next_steps_consensus,1,140,72,212,66.04,33.96,9.73,2179
gemini,ct_old,next_steps_consensus,>1,75,37,112,66.96,33.04,5.14,2179
gemini,ct_new,diagnostic_consensus,0,677,1183,1860,36.4,63.6,84.01,2214
gemini,ct_new,diagnostic_consensus,1,82,158,240,34.17,65.83,10.84,2214
gemini,ct_new,diagnostic_consensus,>1,20,94,114,17.54,82.46,5.15,2214
gemini,ct_new,next_steps_consensus,0,1222,592,1814,67.36,32.64,84.41,2149
gemini,ct_new,next_steps_consensus,1,151,80,231,65.37,34.63,10.75,2149
gemini,ct_new,next_steps_consensus,>1,64,40,104,61.54,38.46,4.84,2149
