sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,interesting
0,2,format_tone|ct_old,0,0,0,0,low_to_high,0
1,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
4,1,ct_old,0,0,0,0,high_to_low,1
5,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,low_to_high,0
13,2,ct_old|ct_new,0,0,0,0,high_to_low,1
14,2,content_format|remove_all,0,1,0,0,high_to_low,1
15,2,content_format|remove_all,0,1,0,0,high_to_low,1
17,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1
23,1,format_tone,0,0,0,0,low_to_high,0
24,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
25,1,content_format,0,0,0,0,high_to_low,1
29,2,format_tone|ct_new,0,0,0,0,low_to_high,0
33,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,low_to_high,0
34,1,ct_new,0,0,0,0,low_to_high,0
37,1,ct_new,0,0,0,0,high_to_low,1
39,1,content_format,0,0,0,0,high_to_low,1
42,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
43,3,content_format|ct_old|ct_new,0,0,0,1,high_to_low,1
45,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
47,2,content_format|ct_new,0,0,0,0,low_to_high,0
54,3,format_tone|content_format|remove_all,1,1,1,1,low_to_high,0
58,1,content_format,0,0,0,0,low_to_high,0
59,1,ct_old,0,0,0,0,low_to_high,0
60,2,ct_old|ct_new,0,0,0,0,high_to_low,1
61,2,format_tone|remove_all,1,1,0,0,high_to_low,1
63,1,ct_new,0,0,0,0,low_to_high,0
64,1,remove_all,0,0,0,0,high_to_low,1
67,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,low_to_high,0
68,2,ct_old|ct_new,0,0,0,0,low_to_high,0
70,1,format_tone,0,0,0,0,high_to_low,1
72,2,content_format|remove_all,0,1,0,0,low_to_high,0
75,3,remove_all|ct_old|ct_new,0,0,0,1,high_to_low,1
82,1,ct_new,0,0,0,0,low_to_high,0
86,2,content_format|ct_new,0,0,0,0,low_to_high,0
94,1,remove_all,0,0,0,0,low_to_high,0
95,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,low_to_high,0
97,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
98,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
99,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1
100,1,content_format,0,0,0,0,high_to_low,1
105,1,ct_new,0,0,0,0,low_to_high,0
106,2,format_tone|ct_new,0,0,0,0,high_to_low,1
108,2,ct_old|ct_new,0,0,0,0,low_to_high,0
111,1,content_format,0,0,0,0,low_to_high,0
112,1,format_tone,0,0,0,0,low_to_high,0
113,4,content_format|remove_all|ct_old|ct_new,0,1,0,1,high_to_low,1
114,1,remove_all,0,0,0,0,high_to_low,1
117,2,content_format|remove_all,0,1,0,0,high_to_low,1
118,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,low_to_high,0
