sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,interesting
17,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1
24,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
42,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
45,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
61,2,format_tone|remove_all,1,1,0,0,high_to_low,1
97,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
98,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
99,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1
122,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
133,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,high_to_low,1
138,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
144,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
146,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
165,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
172,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
183,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
223,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1
260,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
262,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1
269,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
279,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1
283,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
290,2,format_tone|remove_all,1,1,0,0,high_to_low,1
297,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
309,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
333,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1
335,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
355,2,format_tone|remove_all,1,1,0,0,high_to_low,1
356,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1
363,2,format_tone|remove_all,1,1,0,0,high_to_low,1
368,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1
