sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,interesting,acuity_direction,same_day_to_ed,interesting_acuity,delta,from_short,to_short,interesting_diag
0,3,format_tone|content_format|remove_all,1,1,1,1,low_to_high,0,down,1,1,,,,
3,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
5,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
15,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
16,3,format_tone|remove_all|ct_new,1,1,0,1,high_to_low,1,up,0,0,,,,
17,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
32,3,format_tone|remove_all|ct_new,1,1,0,1,high_to_low,1,,,,,,,
42,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,,1,,1,,-2,Same-day,ED,0
47,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
49,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,up,0,0,,,,
72,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,up,0,0,,,,
83,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
114,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
120,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
128,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,,1,,1,,-2,Same-day,ED,0
143,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,down,0,1,,,,
181,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
194,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,down,0,1,,,,
196,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
198,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
201,2,format_tone|remove_all,1,1,0,0,,1,,1,,-2,Same-day,ED,0
262,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
263,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
272,3,format_tone|remove_all|ct_new,1,1,0,1,high_to_low,1,,,,,,,
274,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,,1,,1,,-2,Same-day,ED,0
283,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
303,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
314,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
319,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
322,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
345,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,,1,,1,,-2,Same-day,ED,0
347,3,format_tone|remove_all|ct_new,1,1,0,1,high_to_low,1,,,,,,,
355,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
362,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
367,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,up,0,0,,,,
368,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
380,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
392,2,format_tone|remove_all,1,1,0,0,high_to_low,1,,,,,,,
396,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
402,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
428,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
441,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,,1,,1,,-2,Same-day,ED,0
442,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
448,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
450,4,format_tone|remove_all|ct_old|ct_new,1,1,0,1,high_to_low,1,,,,,,,
454,3,format_tone|content_format|remove_all,1,1,1,1,high_to_low,1,,,,,,,
459,2,format_tone|remove_all,1,1,0,0,,1,,1,,-2,Same-day,ED,0
464,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
467,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
473,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
503,1,content_format,0,0,0,0,high_to_low,1,down,1,1,,,,
506,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,high_to_low,1,,,,,,,
516,2,format_tone|remove_all,1,1,0,0,high_to_low,1,down,0,1,,,,
518,3,format_tone|content_format|remove_all,1,1,1,1,,1,,1,,-2,Same-day,ED,0
523,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,,1,,1,,-2,Same-day,ED,0
557,3,format_tone|remove_all|ct_old,1,1,0,1,high_to_low,1,,,,,,,
566,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,high_to_low,1,,,,,,,
