sample_id,n_arms,arms,in_ra_ft,in_paper_ge2,in_paper_ge3,in_all_ge3,direction,delta,from_short,to_short,same_day_to_ed,interesting
206,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
213,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
233,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
260,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
337,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,3,ED,Non-urgent,0,0
351,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
359,3,format_tone|content_format|remove_all,1,1,1,1,up,2,ED,Same-day,0,0
395,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-3,Non-urgent,ED,0,1
480,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
487,3,format_tone|content_format|remove_all,1,1,1,1,down,-3,Non-urgent,ED,0,1
612,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
619,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
620,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
633,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
677,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
713,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
914,3,format_tone|content_format|remove_all,1,1,1,1,down,-3,Non-urgent,ED,0,1
940,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
996,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1020,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1077,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
1105,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
1129,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1130,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-3,Non-urgent,ED,0,1
1143,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1153,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1243,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1251,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1315,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1321,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1498,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1524,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1585,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-4,Non-urgent,911,0,1
1604,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1617,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1686,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1722,3,format_tone|content_format|remove_all,1,1,1,1,up,2,ED,Same-day,0,0
1778,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1786,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1795,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1806,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1853,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1864,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1874,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
1884,3,format_tone|content_format|remove_all,1,1,1,1,down,-3,Non-urgent,ED,0,1
1914,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
1936,4,format_tone|content_format|remove_all|ct_old,1,1,1,1,down,-2,Same-day,ED,1,1
1963,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2001,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2029,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2038,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2047,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2049,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2084,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2095,3,format_tone|content_format|remove_all,1,1,1,1,up,2,ED,Same-day,0,0
2172,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
2173,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2177,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2186,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2239,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
2258,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2390,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
2457,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
2464,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2484,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,down,-2,Same-day,ED,1,1
2546,3,format_tone|content_format|remove_all,1,1,1,1,down,-2,Same-day,ED,1,1
2579,4,format_tone|content_format|remove_all|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
2649,5,format_tone|content_format|remove_all|ct_old|ct_new,1,1,1,1,up,2,ED,Same-day,0,0
